id,razao_social,cnpj_8,municipio,codigo_ibge,natureza_juridica,latitude,longitude,distancia_km,raio_flag,is_target_200km,match_status,match_detail
27,MUNICIPIO DE PAULO LOPES,82.892.365,PAULO LOPES,4212304,Município,-27.9607,-48.6864,42.9,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
28,INST.DE PREV. SOCIAL DOS SERV. PUBLICOS DO MUNICIPIO DE PAULO LOPES - IPRELOPES,03.933.794,PAULO LOPES,4212304,Autarquia Municipal,-27.9607,-48.6864,42.9,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
29,MUNICIPIO DE ANGELINA,82.951.195,ANGELINA,4200903,Município,-27.5704,-48.9879,43.5,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
30,INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DO MUNICIPIO DE ANGELINA,03.863.650,ANGELINA,4200903,Autarquia Municipal,-27.5704,-48.9879,43.5,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
31,CAMARA MUNICIPAL DE ANGELINA,04.656.359,ANGELINA,4200903,Órgão Público do Poder Legislativo Municipal,-27.5704,-48.9879,43.5,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
32,SECRETARIA MUNICIPAL DE EDUCACAO E DESPORTO,30.774.373,ANGELINA,4200903,Órgão Público do Poder Executivo Municipal,-27.5704,-48.9879,43.5,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
33,SECRETARIA MUNICIPAL DE EDUCACAO,64.490.497,MAJOR GERCINO,4210209,Órgão Público do Poder Executivo Municipal,-27.4192,-48.9488,44.1,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
34,MUNICIPIO DE MAJOR GERCINO,82.845.744,MAJOR GERCINO,4210209,Município,-27.4192,-48.9488,44.1,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
35,CAMARA MUNICIPAL DE VEREADORES DE MAJOR GERCINO,03.269.022,MAJOR GERCINO,4210209,Órgão Público do Poder Legislativo Municipal,-27.4192,-48.9488,44.1,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
36,"SECRETARIA DE EDUCACAO, CULTURA E DESPORTO DE RANCHO QUEIMADO",64.434.850,RANCHO QUEIMADO,4214300,Órgão Público do Poder Executivo Municipal,-27.6727,-49.0191,47.2,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
37,MUNICIPIO DE RANCHO QUEIMADO,82.892.357,RANCHO QUEIMADO,4214300,Município,-27.6727,-49.0191,47.2,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
38,INSTITUTO PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DE RANCHO QUEIMADO,03.793.235,RANCHO QUEIMADO,4214300,Autarquia Municipal,-27.6727,-49.0191,47.2,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
39,CAMARA MUNICIPAL DE RANCHO QUEIMADO,10.933.303,RANCHO QUEIMADO,4214300,Órgão Público do Poder Legislativo Municipal,-27.6727,-49.0191,47.2,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
40,SECRETARIA MUNICIPAL DE EDUCACAO DE PORTO BELO,63.641.306,PORTO BELO,4213500,Órgão Público do Poder Executivo Municipal,-27.1586,-48.5469,48.5,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
41,GUARDA MUNICIPAL DE PORTO BELO,63.874.924,PORTO BELO,4213500,Órgão Público do Poder Executivo Municipal,-27.1586,-48.5469,48.5,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
42,SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO - SAMAE,64.372.423,PORTO BELO,4213500,Autarquia Municipal,-27.1586,-48.5469,48.5,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
43,MUNICIPIO DE PORTO BELO,82.575.812,PORTO BELO,4213500,Município,-27.1586,-48.5469,48.5,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
44,CAMARA MUNICIPAL DE VEREADORES DE PORTO BELO,04.984.856,PORTO BELO,4213500,Órgão Público do Poder Legislativo Municipal,-27.1586,-48.5469,48.5,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
45,CONSORCIO INTERMUNICIPAL DE TURISMO COSTA VERDE E MAR,09.267.291,PORTO BELO,4213500,Consórcio Público de Direito Público (Associação Pública),-27.1586,-48.5469,48.5,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
46,FUNDACAO MUNICIPAL DE ESPORTES DE PORTO BELO,09.618.159,PORTO BELO,4213500,Fundação Pública de Direito Público Municipal,-27.1586,-48.5469,48.5,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
47,FUNDACAO MUNICIPAL DA CULTURA DE PORTO BELO,10.556.980,PORTO BELO,4213500,Fundação Pública de Direito Público Municipal,-27.1586,-48.5469,48.5,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
48,PREFEITURA MUNICIPAL DE PORTO BELO/FUMREBOM,10.718.233,PORTO BELO,4213500,Órgão Público do Poder Executivo Municipal,-27.1586,-48.5469,48.5,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
49,FUNDACAO MUNICIPAL DE TURISMO E DESENVOLVIMENTO ECONOMICO DE PORTO BELO,13.102.858,PORTO BELO,4213500,Fundação Pública de Direito Público Municipal,-27.1586,-48.5469,48.5,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
50,FUNDACAO MUNICIPAL DO MEIO AMBIENTE DE PORTO BELO,16.708.223,PORTO BELO,4213500,Fundação Pública de Direito Público Municipal,-27.1586,-48.5469,48.5,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
51,COORDENADORIA MUNICIPAL DE DEFESA CIVIL DO MUNICIPIO DE PORTO BELO - COMDEC,18.600.048,PORTO BELO,4213500,Órgão Público do Poder Executivo Municipal,-27.1586,-48.5469,48.5,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
52,INSTITUTO DE PREVIDENCIA DOS SERVIDORES PUBLICOS DE PORTO BELO,29.470.098,PORTO BELO,4213500,Autarquia Municipal,-27.1586,-48.5469,48.5,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
53,INSTITUTO MUNICIPAL DO MEIO AMBIENTE DE GAROPABA - IMAG,45.084.018,GAROPABA,4205704,Autarquia Municipal,-28.0275,-48.6192,48.7,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
54,SECRETARIA MUNICIPAL DE EDUCACAO E CULTURA DE GAROPABA SC,56.992.840,GAROPABA,4205704,Órgão Público do Poder Executivo Municipal,-28.0275,-48.6192,48.7,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
55,CAMARA MUNICIPAL DE GAROPABA,80.987.423,GAROPABA,4205704,Órgão Público do Poder Legislativo Municipal,-28.0275,-48.6192,48.7,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
56,MUNICIPIO DE GAROPABA,82.836.057,GAROPABA,4205704,Município,-28.0275,-48.6192,48.7,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
57,INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DO MUNICIPIO DE GAROPABA,03.749.731,GAROPABA,4205704,Autarquia Municipal,-28.0275,-48.6192,48.7,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
58,FUNDACAO DE CULTURA TURISMO E ESPORTE DE GAROPABA,10.932.441,GAROPABA,4205704,Fundação Pública de Direito Público Municipal,-28.0275,-48.6192,48.7,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
59,CAMARA MUNICIPAL DE BOMBINHAS,95.815.304,BOMBINHAS,4202453,Órgão Público do Poder Legislativo Municipal,-27.1382,-48.5146,50.8,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
60,MUNICIPIO DE BOMBINHAS,95.815.379,BOMBINHAS,4202453,Município,-27.1382,-48.5146,50.8,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
61,FUNDACAO MUNICIPAL DE ESPORTES DE BOMBINHAS,05.655.623,BOMBINHAS,4202453,Fundação Pública de Direito Público Municipal,-27.1382,-48.5146,50.8,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
62,FUNDACAO MUNICIPAL DE CULTURA DE BOMBINHAS,09.362.501,BOMBINHAS,4202453,Fundação Pública de Direito Público Municipal,-27.1382,-48.5146,50.8,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
63,FUNDACAO MUNICIPAL DE AMPARO AO MEIO AMBIENTE DE BOMBINHAS,11.419.507,BOMBINHAS,4202453,Fundação Pública de Direito Público Municipal,-27.1382,-48.5146,50.8,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
64,SECRETARIA MUNICIPAL DE EDUCACAO,64.053.787,NOVA TRENTO,4211504,Órgão Público do Poder Executivo Municipal,-27.2780,-48.9298,51.6,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
65,MUNICIPIO DE NOVA TRENTO,82.925.025,NOVA TRENTO,4211504,Município,-27.2780,-48.9298,51.6,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
66,SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO,95.785.267,NOVA TRENTO,4211504,Autarquia Municipal,-27.2780,-48.9298,51.6,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
67,CAMARA MUNICIPAL DE VEREADORES DE NOVA TRENTO,04.302.508,NOVA TRENTO,4211504,Órgão Público do Poder Legislativo Municipal,-27.2780,-48.9298,51.6,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
68,INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DO MUNICIPIO DE NOVA TRENTO,04.529.689,NOVA TRENTO,4211504,Autarquia Municipal,-27.2780,-48.9298,51.6,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
69,COORDENADORIA MUNICIPAL DE DEFESA CIVIL DE NOVA TRENTO,15.046.464,NOVA TRENTO,4211504,Órgão Público do Poder Executivo Municipal,-27.2780,-48.9298,51.6,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
70,GUARDA MUNICIPAL DE ITAPEMA,51.364.585,ITAPEMA,4208302,Órgão Público do Poder Executivo Municipal,-27.0861,-48.6160,56.9,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
71,MUNICIPIO DE ITAPEMA,82.572.207,ITAPEMA,4208302,Município,-27.0861,-48.6160,56.9,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
72,ITAPEMA CAMARA MUNICIPAL,82.702.259,ITAPEMA,4208302,Órgão Público do Poder Legislativo Municipal,-27.0861,-48.6160,56.9,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
73,FUNDACAO AMBIENTAL AREA COSTEIRA DE ITAPEMA,05.234.481,ITAPEMA,4208302,Fundação Pública de Direito Público Municipal,-27.0861,-48.6160,56.9,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
74,ITATRAN - FUNDACAO MUNICIPAL DE TRANSITO,08.117.155,ITAPEMA,4208302,Órgão Público do Poder Executivo Municipal,-27.0861,-48.6160,56.9,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
75,FUNDACAO MUNICIPAL DE CULTURA DE ITAPEMA,08.683.416,ITAPEMA,4208302,Fundação Pública de Direito Público Municipal,-27.0861,-48.6160,56.9,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
76,FUNDACAO MUNICIPAL DE ESPORTES,08.692.523,ITAPEMA,4208302,Fundação Pública de Direito Público Municipal,-27.0861,-48.6160,56.9,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
77,"AGENCIA MUNICIPAL DE REGULACAO, CONTROLE E FISCALIZACAO DO MUNICIPIO DE ITAPEMA",16.670.395,ITAPEMA,4208302,Autarquia Municipal,-27.0861,-48.6160,56.9,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
78,SECRETARIA MUNICIPAL DE EDUCACAO DE ITAPEMA,30.470.961,ITAPEMA,4208302,Órgão Público do Poder Executivo Municipal,-27.0861,-48.6160,56.9,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
79,FUNDACAO MUNICIPAL DE TURISMO - FUMTUR,58.854.069,BRUSQUE,4202909,Fundação Pública de Direito Público Municipal,-27.0977,-48.9107,65.9,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
80,FUNDACAO ECOLOGICA E ZOOBOTANICA DE BRUSQUE,81.285.751,BRUSQUE,4202909,Fundação Pública de Direito Público Municipal,-27.0977,-48.9107,65.9,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
81,SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO,82.985.003,BRUSQUE,4202909,Autarquia Municipal,-27.0977,-48.9107,65.9,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
82,MUNICIPIO DE BRUSQUE,83.102.343,BRUSQUE,4202909,Município,-27.0977,-48.9107,65.9,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
83,FUNDACAO EDUCACIONAL DE BRUSQUE - FEBE,83.128.769,BRUSQUE,4202909,Fundação Pública de Direito Privado Municipal,-27.0977,-48.9107,65.9,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
84,CAMARA MUNICIPAL DE BRUSQUE,83.602.151,BRUSQUE,4202909,Órgão Público do Poder Legislativo Municipal,-27.0977,-48.9107,65.9,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
85,COMISSAO CENTRAL ORGANIZADORA 40 JASC,03.594.895,BRUSQUE,4202909,Autarquia Municipal,-27.0977,-48.9107,65.9,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
86,FUNDACAO CULTURAL DE BRUSQUE,04.894.677,BRUSQUE,4202909,Fundação Pública de Direito Público Municipal,-27.0977,-48.9107,65.9,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
87,PREVIBRUSQUE,05.084.987,BRUSQUE,4202909,Órgão Público do Poder Executivo Municipal,-27.0977,-48.9107,65.9,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
88,FUNDACAO MUNICIPAL DO MEIO AMBIENTE,05.085.153,BRUSQUE,4202909,Fundação Pública de Direito Público Municipal,-27.0977,-48.9107,65.9,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
89,BRUSQUE TRANSITO E TRANSPORTES - B-TRANS,05.623.609,BRUSQUE,4202909,Autarquia Municipal,-27.0977,-48.9107,65.9,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
90,INSTITUTO BRUSQUENSE DE PLANEJAMENTO - IBPLAN,11.188.383,BRUSQUE,4202909,Autarquia Municipal,-27.0977,-48.9107,65.9,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
91,FUNDACAO MUNICIPAL DE ESPORTES DE BRUSQUE,11.241.660,BRUSQUE,4202909,Fundação Pública de Direito Público Municipal,-27.0977,-48.9107,65.9,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
92,INSTITUTO BRUSQUENSE DE PREVIDENCIA - IBPREV,14.634.385,BRUSQUE,4202909,Autarquia Municipal,-27.0977,-48.9107,65.9,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
93,SECRETARIA DE EDUCACAO,30.773.430,BRUSQUE,4202909,Órgão Público do Poder Executivo Municipal,-27.0977,-48.9107,65.9,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
94,COMPANHIA DE DESENVOLVIMENTO E URBANIZACAO DE BRUSQUE,75.294.264,BRUSQUE,4202909,Sociedade de Economia Mista,-27.0977,-48.9107,65.9,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
95,CAMARA MUNICIPAL DE VEREADORES DE GUABIRUBA,79.832.150,GUABIRUBA,4206306,Órgão Público do Poder Legislativo Municipal,-27.0808,-48.9804,71.3,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
96,MUNICIPIO DE GUABIRUBA,83.102.368,GUABIRUBA,4206306,Município,-27.0808,-48.9804,71.3,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
97,SECRETARIA MUNICIPAL DA EDUCACAO,06.078.939,GUABIRUBA,4206306,Órgão Público do Poder Executivo Municipal,-27.0808,-48.9804,71.3,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
98,FUNDACAO CULTURAL DE GUABIRUBA,16.501.189,GUABIRUBA,4206306,Fundação Pública de Direito Público Municipal,-27.0808,-48.9804,71.3,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
99,IMBITUBA CAMARA MUNICIPAL,79.680.005,IMBITUBA,4207304,Órgão Público do Poder Legislativo Municipal,-28.2284,-48.6659,71.4,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
100,MUNICIPIO DE IMBITUBA,82.909.409,IMBITUBA,4207304,Município,-28.2284,-48.6659,71.4,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
101,FUNDACAO MUNICIPAL DE ESPORTES - FME,02.238.456,IMBITUBA,4207304,Fundação Pública de Direito Público Municipal,-28.2284,-48.6659,71.4,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
102,FUNDACAO CULTURAL DE IMBITUBA - FUNCI,07.432.006,IMBITUBA,4207304,Órgão Público do Poder Executivo Municipal,-28.2284,-48.6659,71.4,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
103,SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO (SAMAE) DE IMBITUBA,31.049.535,IMBITUBA,4207304,Autarquia Municipal,-28.2284,-48.6659,71.4,SIM ✓,True,FOUND_EXACT,PNCP data coletada para este ente
104,"SECRETARIA MUNICIPAL DE EDUCACAO, CULTURA E ESPORTE DE IMBITUBA SC",32.449.592,IMBITUBA,4207304,Órgão Público do Poder Executivo Municipal,-28.2284,-48.6659,71.4,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
105,"SECRETARIA MUNICIPAL DA EDUCACAO, CULTURA E DESPORTO DE LEOBERTO LEAL SC",63.866.918,LEOBERTO LEAL,4209805,Órgão Público do Poder Executivo Municipal,-27.5081,-49.2789,72.7,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
106,MUNICIPIO DE LEOBERTO LEAL,82.924.390,LEOBERTO LEAL,4209805,Município,-27.5081,-49.2789,72.7,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
107,INST. DE PREV. SOCIAL DOS SERV. PUBLICOS DO MUNICIPIO DE LEOBERTO LEAL - IPRELL,03.916.700,LEOBERTO LEAL,4209805,Autarquia Municipal,-27.5081,-49.2789,72.7,SIM ✓,True,MISSED_SOURCE_NOT_COVERED,Ente monitorado mas sem licitações coletadas do PNCP
