contract_id,object_original,agency,uf,publication_date,snapshot_id,source_row_hash,stratum,reviewer_1_label,reviewer_1_reason,reviewer_2_label,reviewer_2_reason,adjudicated_label,adjudicator,reviewed_at
09444530000101-2-000018/2026,"O objeto deste Instrumento consiste na Contratação de Pessoa Jurídica para a Prestação de Serviços Contínuos de Limpeza, Conservação e Jardinagem, com Regime de Dedicação Exclusiva de Mão de Obra (DEMO), incluindo o Fornecimento de Materiais, Insumos, Utensílios e Equipamentos necessários à perfeita execução das atividades, a serem executadas nas dependências dos imóveis utilizados pelo Tribunal de Justiça do Estado do Ceará (TJCE), na Capital e no Interior do Estado, no período de 12 (doze) ...",TRIBUNAL DE JUSTIÇA DO ESTADO DO CEARÁ,CE,2026-03-06,confenge_commercial_pncp_supplier_contracts,4c55e5f76125184a80ae6b0025fca29ff98403d3f36de02bef8e8fff6c64c410,engenharia_obras_claras,,,,,,,
00394460000141-2-000201/2026,"O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO DE SERVIÇOS CONTINUADOS DE ASSINATURA DIGITAL DE SOLUÇÃO DE TECNOLOGIA DE ORGANIZAÇÃO E DISPONIBILIZAÇÃO DE INFORMAÇÕES JURÍDICAS PÚBLICAS E ABERTAS, DO PORTAL JUSBRASIL NO PLANO AVANÇADO, QUE PERMITE, ATRAVÉS DO ACESSO À PLATAFORMA JUSBRASIL (JUSBRASIL.COM.BR) (“PLATAFORMA”), CONSULTA, CÓPIA E DOWNLOAD DE JURISPRUDÊNCIAS, DIÁRIOS OFICIAIS, MODELOS E PEÇAS, ASSIM COMO A LEITURA DE OBRAS DOUTRINÁRIAS, A BUSCA POR CONTEÚDO DENTRO DAS OBRAS E A CÓ...",SUP.REGIONAL RECEITA FEDERAL DA 8A.RF/SP,SP,2026-04-17,confenge_commercial_pncp_supplier_contracts,0dfa086d84caa2b94b2f098ac2e5620a26840fc05caf3b0e82b03abfb0517198,engenharia_obras_claras,,,,,,,
04892707000100-2-000281/2026,"SUPERVISÃO DA ELABORAÇÃO DE PROJETOS BÁSICO E EXECUTIVO DE ENGENHARIA E A EXECUÇÃO DAS OBRAS DE IMPLANTAÇÃO E PAVIMENTAÇÃO DA RODOVIA BR-030/BA, LOTES 1 E 2 - LOTE 2.",DEPARTAMENTO NACIONAL INFRAEST.DE TRANSPORTES,DF,2026-05-15,confenge_commercial_pncp_supplier_contracts,423b0344cad24637f60a116093b6e29a329c230ff0f46441d9259afc62662553,engenharia_obras_claras,,,,,,,
28909604000174-2-000162/2026,"Reforma e ampliação da Unidade Básica de Saúde – UBS da Ponta do Ambrósio, localizada na Rua Antônio Luiz Araújo, nº 120, no
bairro Ponta do Ambrósio, em São Pedro da Aldeia, com o fornecimento de material e mão de obra",MRJ-PREFEITURA MUNICIPAL SÃO PEDRO DA ALDEIA,RJ,2026-06-25,confenge_commercial_pncp_supplier_contracts,ff55e7a90de800e7d0e7df8d582c0f947780d6b463291f0d9ed2165ca977ccea,engenharia_obras_claras,,,,,,,
76105576000185-2-000032/2026,"Contratação de empresa especializada para realizar a execução de obra de engenharia da implantação do BOSQUE DOS TROVADORES no bairro Nodari I, em Rio Branco do Sul.",DEPARTAMENTO DE ESPORTE E LAZER,PR,2026-03-27,confenge_commercial_pncp_supplier_contracts,538c4be3367dec19f1e1c5427cc0e298470ddb620169f09e2185b408f9853523,engenharia_obras_claras,,,,,,,
18585570000156-2-000051/2026,"[LICITANET] - CONTRATAÇÃO DO CIMINAS ATRAVÉS DO PROCESSO Nº 001/2026, CREDENCIAMENTO Nº 001/2026. CREDENCIAMENTO DE EMPRESAS , ENTIDADES E/OU INSTITUIÇÕES DE UTILIDADE PÚBLICA, SEM FINS LUCRATIVOS PARA PRESTAÇÃO DE SERVIÇOS DE ESTERILIZAÇÃO DE CÃES E GATOS EM CENTRO CIRURGICO MÓVEL (CASTRAMÓVEL) EM ATENDIMENTO  AOS ENTES CONSORCIADOS AO CIMINAS - CONSORCIO INTERFEDERATIVO DE MINAS GERAIS, EM ATENDIMENTO AS NECESSIDADES DO DEPARTAMENTO DE OBRAS E MEIO AMBIENTE DE PRATINHA/MG.",MUNICÍPIO DE PRATINHA/MG,MG,2026-06-23,confenge_commercial_pncp_supplier_contracts,33b8f7cf89e72bebd9bfa175472eaae8e73104d173b85af8aee78725f2399897,engenharia_obras_claras,,,,,,,
10783898000175-2-000057/2026,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM OBRAS E SERVIÇOS DE ENGENHARIA PARA A EXECUÇÃO DA CONSTRUÇÃO DO RESTAURANTE ESTUDANTIL DO CAMPUS SANTA LUZIA DO IFPB, NAS CONDIÇÕES ESTABELECIDAS NO INSTRUMENTO CONVOCATÓRIO.","INST.FED.DE EDUC.,CIENC.E TEC.DA PARAIBA",PB,2026-03-18,confenge_commercial_pncp_supplier_contracts,5ed1d0dfbacc5be04393f8a59cbc3627bdc1698e2bdedb0b47d79cc4f6d8ab9f,engenharia_obras_claras,,,,,,,
02296325000199-2-000420/2026,"A IMPORTANCIA QUE SE EMPENHA AQUISIÇÃO DE LUBRIFICANTES AUTOMOTIVOS PARA ATENDER A MOTONIVELADORA CATERPILLAR 120K E O CAMINHÃO PRENSA, PLACA NGE-5C85, PERTENCENTES À FROTA DA SECRETARIA MUNICIPAL DE TRANSPORTES, OBRAS, LIMPEZA E URBANISMO.",MUNICIPIO DE BRITANIA,GO,2026-03-09,confenge_commercial_pncp_supplier_contracts,89014d41be7cd28a4311a256d97fe32c1b574c33508675e0cc5f1d3096c22828,engenharia_obras_claras,,,,,,,
46068425000133-2-002100/2026,"- 15 latas com 18 litros de TINTA PARA PISOS E PAVIMENTOS; TIPO ACRILICA COM POLIMEROS, CONFORME NBR 12935; RESISTENTE A ABRASAO E INTEMPERIES; ACABAMENTO FOSCO, ANTIDERRAPANTE; PARA DEMARCACAO VIARIA; INDICADA PARA APLICACAO EM PAVIMENTOS BETUMINOSOS E DE CONCRETO; NA COR AMARELO NOTACAO MUNSELL 10 YR 7,5/14; COM TEMPO DE SECAGEM MAXIMO NO PICK-UP TIME (NBR 12033) DE 20 MINUTOS; FORNECIDA EM LATA OU GALAO;
- 16 latas com 18 litros de TINTA LATEX; DESEMPENHO PREMIUM, TIPO LATEX VINIL ACRILICA...",ESP-UNIVERSIDADE ESTADUAL DE CAMPINAS,SP,2026-03-16,confenge_commercial_pncp_supplier_contracts,05c0000de435f5641a287a01b3fdeb17acc2eed5bf40906dd5e104d93f3daa20,engenharia_obras_claras,,,,,,,
08095283000104-2-000013/2026,CONTRATAÇÃO DE PESSOAS JURÍDICAS VISANDO A PRESTAÇÃO DE SERVIÇOS DE MÃO DE OBRA NO ÂMBITO DA CONSTRUÇÃO CIVIL E SERVIÇOS URBANOS DESTINADOS AOS DIVERSOS SETORES DAS SECRETARIAS DA PREFEITURA MUNICIPAL DE JUCURUTU,PREFEITURA MUNICIPAL DE JUCURUTU,RN,2026-03-11,confenge_commercial_pncp_supplier_contracts,7e3e0ea50f6fe201df6a9c3f6d427ee1870e9b1b2381d101329eab8f325dd5c2,engenharia_obras_claras,,,,,,,
88199971000153-2-000235/2026,Contratacao dos servicos de manutencao predial  preventiva e corretiva para os Predios Municipais e infraestrutura urbana  como vias publicas  calcadas e equipamentos urbanos conforme a demanda e sem direito a exclusividade das empresas.,PREFEITURA MUNICIPAL,RS,2026-03-11,confenge_commercial_pncp_supplier_contracts,0d29076600887ac3a37d299229e9802ddf3faf884a5f6033d86214c7124916f1,engenharia_ambigua,,,,,,,
00697295007967-2-000007/2024,"Por força deste Contrato a CONTRATADA obriga-se a prestar ao CONTRATANTE os serviços de  Manutenção Predial, envolvendo reparo, adaptação e reforma em geral de acordo com o edital e seus anexos, o Projeto Básico e a proposta, constantes do PROCESSO, os quais estão rubricados pelas partes e passam a integrar o presente instrumento, como se nele estivessem transcritos.",MATERNIDADE DE REFERÃŠNCIA DA ZONA LESTE DE MANAUS _ ANA BRAGA,AM,2026-06-11,confenge_commercial_pncp_supplier_contracts,0580d74f3934781ce44367bcc9ca1d1a9a4b1901b9919288bb4a861a7ee20f2f,engenharia_ambigua,,,,,,,
88199971000153-2-000237/2026,Contratacao dos servicos de manutencao predial  preventiva e corretiva para os Predios Municipais e infraestrutura urbana  como vias publicas  calcadas e equipamentos urbanos conforme a demanda e sem direito a exclusividade das empresas.,PREFEITURA MUNICIPAL,RS,2026-03-11,confenge_commercial_pncp_supplier_contracts,1e256b368dd3071b4f9b042bd3f7323bb635c983d5947689cb4708915dbc3c4c,engenharia_ambigua,,,,,,,
01763614000198-2-002773/2026,"VALOR QUE SE EMPENHA PARA OCORRER COM DESPESA PRESTAÇÃO DE SERVIÇOS TÉCNICOS EM INFRAESTRUTURA DE REDE PARA MANUTENÇÃO DA REDE ESCOLAR INFANTIL - CMEI MANOELA ROSA, DECORRENTE DO PREGÃO ELETRÔNICO Nº016/2025 E ATA REGISTRO DE PREÇOS Nº015/2025.",FUNDO MUNICIPAL DE EDUCAÇÃO DE CAMPO ALE,GO,2026-07-10,confenge_commercial_pncp_supplier_contracts,ddd7a8d8e2da15222e0c8def750ce4dd62b96dd3c0a01722f6483dac68177332,engenharia_ambigua,,,,,,,
96291141000180-2-004680/2026,AQUISIÇÃO DE MATERIAIS PARA MANUTENÇÃO PREDIAL - COM ENTREGA IMEDIATA PARA REFORMA DO PRÉDIO DA SEDE DA COORDENADORIA DE EXECUÇÃO PENAL DA REGIÃO NORTE,ESP-DIVISÃO DE ADM. DA C.E.P.R. NORTE ESTADO,SP,2026-05-07,confenge_commercial_pncp_supplier_contracts,fa2986f71c0ad0b39ca9c1778c3db374e99457fa4e8e3085575de9b302b14a05,engenharia_ambigua,,,,,,,
96291141000180-2-004737/2026,AQUISIÇÃO DE MATERIAIS PARA MANUTENÇÃO PREDIAL - COM ENTREGA IMEDIATA PARA REFORMA DO PRÉDIO DA SEDE DA COORDENADORIA DE EXECUÇÃO PENAL DA REGIÃO NORTE.,ESP-DIVISÃO DE ADM. DA C.E.P.R. NORTE ESTADO,SP,2026-05-07,confenge_commercial_pncp_supplier_contracts,6ffdf09b960218a17ab775310099c5b80febaaf17c2b74a2e8d132dd04e388c5,engenharia_ambigua,,,,,,,
80874100000186-2-000051/2026,contratacao de servicos tecnicos especializados de assessoria e consultoria juridica destinados a revisao  atualizacao  reestruturacao e elaboracao do Codigo Tributario do Municipio de Bom Sucesso do Sul  com a finalidade de promover sua adequacao as diretrizes da reforma tributaria nacional  especialmente aquelas introduzidas pela Emenda Constitucional n  132 2023 e regulamentadas pela legislacao complementar subsequente  bem como de aperfeicoar os instrumentos de arrecadacao  fiscalizacao  cob,PREFEITURA MUNICIPAL,PR,2026-05-29,confenge_commercial_pncp_supplier_contracts,4c8ce5ba1f6ebd79f66456068feed703d63204a71a803f1dd3e2d6966c01cb7c,engenharia_ambigua,,,,,,,
20267427000168-2-000101/2026,"1.1.	Contratação de empresa especializada em aquisição de materiais para infraestrutura e manutenção predial destinados a suprir as necessidades das Unidades do Hospital da Vida e Unidade de Pronto Atendimento Dr. Afrânio Martins – UPA 24, geridas pela Fundação de Serviços de Saúde de Dourados – FUNSAUD conforme condições e exigências estabelecidas neste instrumento e nas condições estabelecidas no Termo de Referência.",MMS-FUNDAÇÃO SERVIÇOS DE SAÚDE DE DOURADOS,MS,2026-04-10,confenge_commercial_pncp_supplier_contracts,b266b5b7eaeaa523685e2b2295cc5ab36e3e8a506b7ce22418631f2bca408b81,engenharia_ambigua,,,,,,,
96291141000180-2-004693/2026,AQUISIÇÃO DE MATERIAIS PARA MANUTENÇÃO PREDIAL - COM ENTREGA IMEDIATA PARA REFORMA DO PRÉDIO DA SEDE DA COORDENADORIA DE EXECUÇÃO PENAL DA REGIÃO NORTE.,ESP-DIVISÃO DE ADM. DA C.E.P.R. NORTE ESTADO,SP,2026-05-07,confenge_commercial_pncp_supplier_contracts,2676e0833db55ff2395096bb82c0d5dcf6a80f7a93203bc967f509ec6b714ee9,engenharia_ambigua,,,,,,,
96291141000180-2-004684/2026,AQUISIÇÃO DE MATERIAIS PARA MANUTENÇÃO PREDIAL - COM ENTREGA IMEDIATA PARA REFORMA DO PRÉDIO DA SEDE DA COORDENADORIA DE EXECUÇÃO PENAL DA REGIÃO NORTE.,ESP-DIVISÃO DE ADM. DA C.E.P.R. NORTE ESTADO,SP,2026-05-07,confenge_commercial_pncp_supplier_contracts,1aa3900549ce466623067731ad81de8aefd31cb5759dc3be80486a6fd2c4c805,engenharia_ambigua,,,,,,,
06553861000183-2-000024/2026,"Contratação de empresa especializada para a prestação contínua de serviços técnicos de infraestrutura de telecomunicações, consistindo na recepção e retransmissão local de sinal digital de televisão aberta via satélite (padrão ISDB-T - Full HD), com programação de conteúdo informativo, campanhas de utilidade pública e abrangência regional para a população do Município de Piripiri - PI.",PREFEITURA MUNICIPAL DE PIRIPIRI - PI,PI,2026-07-23,confenge_commercial_pncp_supplier_contracts,2634a9d22b367a43d75cd16813ef7a280c76a765e4119fdf88e79057449dcf61,engenharia_ambigua,,,,,,,
01763606000141-2-000752/2025,"PRESTACAO DE SERVICOS TECNICOS ESPECIALIZADOS PARA AVALIACAO, MANUTENCAO E RECUPERACAO DE INFRAESTRUTURAS SUBTERRANEAS URBANAS, EM IPAMERI E SEUS DISTRITOS CONFORME A ATA DE REGISTRO DE PRECOS N.. 019/2025 DO PREGAO ELETRONICO N. 030/2025.","SEC MUN GESTAO ADM., FINANC PLANEJAMENTO",GO,2026-04-13,confenge_commercial_pncp_supplier_contracts,c7422038054feda15bc86d8cfc280223c36800b047d6687863d0c69ca07771eb,engenharia_ambigua,,,,,,,
01763606000141-2-000104/2026,"PRESTACAO DE SERVICOS TECNICOS ESPECIALIZADOS PARA AVALIACAO, MANUTENCAO E RECUPERACAO DE INFRAESTRUTURAS SUBTERRANEAS URBANAS, EM IPAMERI E SEUS DISTRITOS CONFORME A ATA DE REGISTRO DE PRECOS N.. 019/2025 DO PREGAO ELETRONICO N. 030/2025.","SEC MUN GESTAO ADM., FINANC PLANEJAMENTO",GO,2026-06-24,confenge_commercial_pncp_supplier_contracts,83e18e9ed6c7c0dc7953e42c4cffcf47a2a268ac1b26999443cc317965b7801d,engenharia_ambigua,,,,,,,
00509968000148-2-001258/2026,"CONTRATAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREDIAL DE IMPERMEABILIZAÇÃO DE LAJES E RESERVATÓRIOS DAS EDIFICAÇÕES DO TRT 7ª REGIÃO NO ESTADO DO CEARÁ, POR EMPREITADA POR PREÇO UNITÁRIO, MEDIANTE SISTEMA DE REGISTRO DE PREÇOS VISANDO EVENTUAL CONTRATAÇÃO DE EMPRESA, REFERENTE À 2ª UTILIZAÇÃO DA ARP Nº 39/2025, GRUPO 1 – ITEM 2, VARA DO TRABALHO DE MARACANAÚ, NOS TERMOS E CONDIÇÕES ESTABELECIDAS NO EDITAL E SEUS ANEXOS.",TRIBUNAL REGIONAL DO TRABALHO DA 7A.REGIAO,CE,2026-05-27,confenge_commercial_pncp_supplier_contracts,3c81c6bc086923a2f391bdf8e8641347b3893f12824e3d3730b4d4fc49c48de3,engenharia_ambigua,,,,,,,
17516113000147-2-000120/2026,aquisição de materiais para realização de reformas e manutenção predial e reposição de estoque.,REG. PRECOS,MG,2026-05-06,confenge_commercial_pncp_supplier_contracts,71476f62581d34d34b9e3660d37a05c14f684bafdc1e4a506e4c45a012d3dc2b,engenharia_ambigua,,,,,,,
07598691000116-2-000571/2025,"CONTRATAÇÃO DA PRESTAÇÃO DE SERVIÇOS TÉCNICOS DE ASSESSORIA E CONSULTORIA PARA PRESTAÇÃO DE SERVIÇOS ADVOCATÍCIOS DE NATUREZA JURÍDICA VISANDO AUXILIAR NAS DEMANDAS DE ATUAÇÃO JUNTO AO SUPREMO TRIBUNAL FEDERAL - STF, SUPERIOR TRIBUNAL DE JUSTIÇA - STJ, TRIBUNAL SUPERIOR DO TRABALHO - TST, MINISTÉRIO PÚBLICO FEDERAL - MPF E TRIBUNAL DE CONTAS DA UNIÃO - TCU, JUNTO A SECRETARIA DE INFRAESTRUTURA E MEIO AMBIENTE DO MUNICÍPIO DE MASSAPÊ/CE",SECRETARIA DE INFRAESTRUTURA E MEIO AMBIENTE ,CE,2026-03-12,confenge_commercial_pncp_supplier_contracts,9fe63da04fe233efb3994ef7d606c7b3b3ee1aff107ee71ee21fc9c985b0fbb7,engenharia_ambigua,,,,,,,
03238631000131-2-000059/2026,"DISPENSA DE LICITAÇÃO PARA CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇOS TÉCNICOS ESPECIALIZADO, VISANDO DIAGNOSTICO, SANEAMENTO, REGULARIZAÇÃO E CONCILIAÇÃO DAS INFORMAÇÕES DO ESOCIAL DA PREF. MUN. DE PEIXOTO DE AZEVEDO-MT, REF. AO ANO-CALENDÁRIO 2025. EM ATEN. A",PREFEITURA MUNICIPAL DE PEIXOTO DE AZEVEDO - MT,MT,2026-06-18,confenge_commercial_pncp_supplier_contracts,f3e3373cdb148f0f41004e8fcc10fe20901edc06e3c78666cd0ad160ad0198d0,engenharia_ambigua,,,,,,,
96291141000180-2-004665/2026,AQUISIÇÃO DE MATERIAIS PARA MANUTENÇÃO PREDIAL - COM ENTREGA IMEDIATA PARA REFORMA DO PRÉDIO DA SEDE DA COORDENADORIA DE EXECUÇÃO PENAL DA REGIÃO NORTE.,ESP-DIVISÃO DE ADM. DA C.E.P.R. NORTE ESTADO,SP,2026-05-07,confenge_commercial_pncp_supplier_contracts,87e1a8a8d2d92636299c3e4ff7d42713d1b01a93a61f0b179a57cac281289af3,engenharia_ambigua,,,,,,,
07628844000120-2-000011/2026,"Prestação de serviços técnicos especializados de cerimonial com infraestrutura e apoio logístico necessário à organização do evento DPE Mulher, a ser realizado no dia 14 de março de 2026, no Núcleo Sede de Natal - Anexo I, em alusão ao Dia da Mulher, abrangendo os itens 09, 12 e 14 da Ata de Registro de Preços nº 28/2024-DPE/RN.",DEFENSORIA PÚBLICA DO ESTADO DO RN,RN,2026-03-16,confenge_commercial_pncp_supplier_contracts,1de161548602ff81cb0e9683d170a996475b5c75d07b0b3ea812185048d54bc5,engenharia_ambigua,,,,,,,
11408812000197-2-000001/2026,"Contratação de empresa especializada para a prestação de serviços técnicos de Auditoria em Tecnologia da Informação (TI), compreendendo a avaliação dos sistemas informatizados, da infraestrutura tecnológica, da segurança da informação, da governança de TI, dos controles internos, no âmbito da Autarquia Municipal de Ensino Superior de Goiana - AMESG",AUTARQUIA DO ENSINO SUPERIOR DE GOIANA - AMESG,PE,2026-03-17,confenge_commercial_pncp_supplier_contracts,f1150f6ef02d69a27abd8a3dbd54c55cd038cad087711bc78643eb9bbf51d298,engenharia_ambigua,,,,,,,
83026138000197-2-000143/2026,"CONTRATAÇÃO DE CARGAS DE ÁGUA PARA O ABASTECIMENTO DAS FAMÍLIAS RURAIS DO MUNICÍPIO, CONFORME A NECESSIDADE, COM A FINALIDADE DE GARANTIR O ACESSO A ÁGUA POTÁVEL, DEVIDO A AUSÊNCIA E DIFICULDADE NA OBTENÇÃO DE RECURSOS HÍDRICOS POTÁVEIS, EM FAMÍLIAS DE LINHA SÃO VALENTIM E NO DISTRITO DE ITAJUBÁ, E OUTRAS LOCALIDADES, ONDE NÃO HÁ ATENDIMENTO DA COMPANHIA CATARINENSE DE ÁGUAS E SANEAMENTO – CASAN, ASSIM É INDISPENSÁVEL O FORNECIMENTO PARA MANUTENÇÃO E GARANTIA DO RECURSO HÍDRICO AS FAMÍLIAS DE...",PREFEITURA MUNICIPAL DE DESCANSO - SC,SC,2026-03-23,confenge_commercial_pncp_supplier_contracts,263814ca36d856573b579fb1b8f0a067cbaa2928f4e37993628d357914e028e6,infraestrutura_urbana,,,,,,,
05853163000130-2-000697/2026,"AQUISIÇÃO DE MOTOCICLETAS PARA
ATENDER AS NECESSIDADES DO SERVIÇO DE SANEAMENTO AMBIENTAL DE MARABÁ",SERVIÇO DE SANEAMENTO AMBIENTAL DE MARABA-PA,PA,2026-07-09,confenge_commercial_pncp_supplier_contracts,f2ae3eab99f6c6509d6613e140cba6dc487d25b54df4a83ea40115e15d2c7bc1,infraestrutura_urbana,,,,,,,
44919918000104-2-000401/2026,"Registro de preços pelo prazo de 12 (doze) meses para aquisição de medicamentos (genéricos, similares ou éticos), de acordo com a requisição da secretaria municipal de saúde e saneamento, cujas quantidades e especificações constam do termo de referência (ANEXO I) do presente edital.",FUNDO MUNICIPAL DE SAÚDE,SP,2026-03-19,confenge_commercial_pncp_supplier_contracts,ac761f188c70607ac907d61872221442714bc2b4c9d5afc806437f6d8d8e721c,infraestrutura_urbana,,,,,,,
