ranking,outreach_status,prioridade_abordagem,score_fornecedor,cnpj,razao_social,nome_fantasia,sede_municipio,sede_uf,sul_priority,cnae,situacao_cadastral,porte_cadastral,qtd_contratos_candidatos,orgaos_contratantes,valor_total_portfolio_analisado,melhor_contrato_id,melhor_orgao,melhor_classificacao,argumento_comercial,mensagem_abordagem,proxima_acao,riscos,email,telefone,site,contato_verificavel
11,DOCUMENT_REQUEST_CANDIDATE,SUL_SC_PRIORITY,45.8,00061493000170,ENCOPAV ENGENHARIA LTDA,,SAO LEOPOLDO,RS,True,4211101,Ativa,,19,DEPARTAMENTO AUTÔNOMO DE ESTRADAS DE RODAGEM | Executivo Administração Direta | SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL | Unidades Administrativas  Subordinadas,722356141.67,92883834000100-2-000007/2025,DEPARTAMENTO AUTÔNOMO DE ESTRADAS DE RODAGEM,STRONG_CANDIDATE,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Baixar contrato e apostilas; confirmar data-base, índice e saldo antes da abordagem.","ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido | Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
12,DOCUMENT_REQUEST_CANDIDATE,NACIONAL,45.65,72030927000185,SEEL SERVICOS ESPECIAIS DE ENGENHARIA LTDA,,RIO DE JANEIRO,RJ,False,4399199 - Serviços especializados para construção não especificados anteriormente,ATIVA,,2,SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL,138486067.07999998,04892707000100-2-000596/2024,SUP. REG. DO DNIT NO EST.DO RIO GRANDE DO SUL,STRONG_CANDIDATE,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Baixar contrato e apostilas; confirmar data-base, índice e saldo antes da abordagem.","ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido | Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
13,DOCUMENT_REQUEST_CANDIDATE,NACIONAL,45.53,15800344000152,CL ENGENHARIA E CONSTRUCAO LTDA,,NOVA LIMA,MG,False,4299599 - Outras obras de engenharia civil não especificadas anteriormente,ATIVA,,3,FUNDO MUNICIPAL DE HABITAÇÃO POPULAR | GEPRO,32046205.89,21154554000113-2-000605/2024,GEPRO,STRONG_CANDIDATE,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Baixar contrato e apostilas; confirmar data-base, índice e saldo antes da abordagem.","ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido | Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
14,DOCUMENT_REQUEST_CANDIDATE,SUL_SC_PRIORITY,45.5,67156943000260,SOTRAM - CONSTR. E TERRAPLENAGEM LTDA.,SOTRAM,PEROBAL,PR,True,4211101 - Construção de rodovias e ferrovias,ATIVA,,11,Diretoria de Obras | PREFEITURA MUNICIPAL | Unidade administrativa,120563230.52000001,76247378000156-2-000324/2024,Unidade administrativa,STRONG_CANDIDATE,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Baixar contrato e apostilas; confirmar data-base, índice e saldo antes da abordagem.","ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido | Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
15,DOCUMENT_REQUEST_CANDIDATE,NACIONAL,45.39,17620199000153,AVANTI SOLUCOES E TECNOLOGIA LTDA,,Ibirité,MG,False,,,,1,DEPTO DE LIC. E CONT/DPGF/GLM,16638693.82,16789398000127-2-000057/2024,DEPTO DE LIC. E CONT/DPGF/GLM,STRONG_CANDIDATE,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Baixar contrato e apostilas; confirmar data-base, índice e saldo antes da abordagem.","ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido | Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido.",,,,False
16,DOCUMENT_REQUEST_CANDIDATE,NACIONAL,45.29,00456865000167,BETHA SISTEMAS LTDA,,Atibaia,SP,False,,,,2,Prefeitura Municipal da Estância de Atibaia,69700000.0,45279635000108-2-000337/2025,Prefeitura Municipal da Estância de Atibaia,STRONG_CANDIDATE,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Baixar contrato e apostilas; confirmar data-base, índice e saldo antes da abordagem.","ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido | Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido.",,,,False
17,DOCUMENT_REQUEST_CANDIDATE,NACIONAL,45.08,32371059000182,HORUS ENGENHARIA LTDA,,São José de Ribamar,MA,False,,,,3,"Secretaria Municipal de Administração | Secretaria Municipal de Obras, Habitação, Serviços Públicos e Urbanismo",32142769.240000002,06351514000178-2-000005/2024,"Secretaria Municipal de Obras, Habitação, Serviços Públicos e Urbanismo",STRONG_CANDIDATE,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Baixar contrato e apostilas; confirmar data-base, índice e saldo antes da abordagem.","ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido | Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
18,DOCUMENT_REQUEST_CANDIDATE,SUL_SC_PRIORITY,44.6,59470520000100,CONSÓRCIO PARANAMAP,,Curitiba,PR,True,,,,1,IAT - Instituto Água e Terra (Antigo IAP),118447000.0,68596162000178-2-000022/2025,IAT - Instituto Água e Terra (Antigo IAP),STRONG_CANDIDATE,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Baixar contrato e apostilas; confirmar data-base, índice e saldo antes da abordagem.","ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido | Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido.",,,,False
19,DOCUMENT_REQUEST_CANDIDATE,NACIONAL,44.42,00472805000138,TRACADO CONSTRUCOES E SERVICOS LTDA,,SAO PAULO,SP,False,7112000,Ativa,,13,DEPARTAMENTO AUTÔNOMO DE ESTRADAS DE RODAGEM | DEPARTAMENTO DE OBRAS E SERVIÇOS | Executivo Administração Direta | MUNICÍPIO DE CRUZALTENSE | MUNICÍPIO DE PASSO FUNDO | Municipio de Alpestre | OBRAS E SERVICOS PUBLICOS | PM Jacutinga | PREFEITURA MUNICIPAL DE CONGONHINHAS - PR | PREFEITURA MUNICIPAL DE ERECHIM | Prefeitura Municipal de Quatro Irmãos,469024271.43999994,92883834000100-2-000001/2025,DEPARTAMENTO AUTÔNOMO DE ESTRADAS DE RODAGEM,STRONG_CANDIDATE,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Baixar contrato e apostilas; confirmar data-base, índice e saldo antes da abordagem.","ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido | Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
20,DOCUMENT_REQUEST_CANDIDATE,NACIONAL,44.35,35793134000191,GML ENGENHARIA LTDA,,BELO HORIZONTE,MG,False,7112000 - Serviços de engenharia,ATIVA,,4,PREFEITURA MUNICIPAL DE ROCHEDO DE MINAS - MG | PREFEITURA MUNICIPAL DE VITORIA | SECRETARIA M. ADMINISTRAÇÃO/PREF M.UBERLÂNDIA | SECRETARIA MUNICIPAL DE ADMINISTRACAO,29644902.11,18558080000160-2-000081/2024,PREFEITURA MUNICIPAL DE ROCHEDO DE MINAS - MG,STRONG_CANDIDATE,"Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Estamos analisando contratos públicos de obras com interregno anual já transcorrido e identificamos que este instrumento merece conferência da cláusula de reajuste. Para confirmar eventual valor, seria necessário examinar contrato, orçamento, medições e apostilas.","Baixar contrato e apostilas; confirmar data-base, índice e saldo antes da abordagem.","ausencia_de_apostila_no_pncp_nao_prova_que_reajuste_nao_foi_concedido | Saldo/medições indisponíveis — valor sobre total é teto teórico, não valor devido. | indice_contratual_ausente — não aplicar IPCA/INCC/SINAPI por plausibilidade",,,,False
